Var1,Var2,Var3
36.05,-123.05,0
36.05,-122.95,0
36.05,-122.85,0
36.05,-122.75,0
36.05,-122.65,0
36.05,-122.55,0
36.05,-122.45,0
36.05,-122.35,0
36.05,-122.25,0
36.05,-122.15,0
36.05,-122.05,0
36.05,-121.95,0
36.05,-121.85,0
36.05,-121.75,0
36.05,-121.65,0
36.05,-121.55,0
36.05,-121.45,0
36.05,-121.35,0
36.05,-121.25,0
36.05,-121.15,0
36.05,-121.05,0
36.05,-120.95,0
36.05,-120.85,0
36.05,-120.75,0
36.05,-120.65,0
36.05,-120.55,0
36.05,-120.45,0
36.05,-120.35,0
36.05,-120.25,0
36.05,-120.15,0
36.05,-120.05,0
36.05,-119.95,0
36.05,-119.85,0
36.05,-119.75,0
36.05,-119.65,0
36.05,-119.55,0
36.05,-119.45,0
36.05,-119.35,0
36.05,-119.25,0
36.05,-119.15,0
36.05,-119.05,0
36.05,-118.95,0
36.05,-118.85,0
36.05,-118.75,0
36.05,-118.65,0
36.05,-118.55,0
36.05,-118.45,0
36.05,-118.35,0
36.05,-118.25,0
36.05,-118.15,0
36.05,-118.05,0
36.15,-123.05,0
36.15,-122.95,0
36.15,-122.85,0
36.15,-122.75,0
36.15,-122.65,0
36.15,-122.55,0
36.15,-122.45,0
36.15,-122.35,0
36.15,-122.25,0
36.15,-122.15,0
36.15,-122.05,0
36.15,-121.95,0
36.15,-121.85,0
36.15,-121.75,0
36.15,-121.65,0
36.15,-121.55,0
36.15,-121.45,0
36.15,-121.35,0
36.15,-121.25,0
36.15,-121.15,0
36.15,-121.05,0
36.15,-120.95,0
36.15,-120.85,0
36.15,-120.75,0
36.15,-120.65,0
36.15,-120.55,0
36.15,-120.45,0
36.15,-120.35,0
36.15,-120.25,0
36.15,-120.15,0
36.15,-120.05,0
36.15,-119.95,0
36.15,-119.85,0
36.15,-119.75,0
36.15,-119.65,0
36.15,-119.55,0
36.15,-119.45,0
36.15,-119.35,0
36.15,-119.25,0
36.15,-119.15,0
36.15,-119.05,0
36.15,-118.95,0
36.15,-118.85,0
36.15,-118.75,0
36.15,-118.65,0
36.15,-118.55,0
36.15,-118.45,0
36.15,-118.35,0
36.15,-118.25,0
36.15,-118.15,0
36.15,-118.05,0
36.25,-123.05,0
36.25,-122.95,0
36.25,-122.85,0
36.25,-122.75,0
36.25,-122.65,0
36.25,-122.55,0
36.25,-122.45,0
36.25,-122.35,0
36.25,-122.25,0
36.25,-122.15,0
36.25,-122.05,0
36.25,-121.95,0
36.25,-121.85,0
36.25,-121.75,0
36.25,-121.65,0
36.25,-121.55,0
36.25,-121.45,0
36.25,-121.35,0
36.25,-121.25,0
36.25,-121.15,0
36.25,-121.05,0
36.25,-120.95,0
36.25,-120.85,0
36.25,-120.75,0
36.25,-120.65,0
36.25,-120.55,0
36.25,-120.45,0
36.25,-120.35,0
36.25,-120.25,0
36.25,-120.15,0
36.25,-120.05,0
36.25,-119.95,0
36.25,-119.85,0
36.25,-119.75,0
36.25,-119.65,0
36.25,-119.55,0
36.25,-119.45,0
36.25,-119.35,0
36.25,-119.25,0
36.25,-119.15,0
36.25,-119.05,0
36.25,-118.95,0
36.25,-118.85,0
36.25,-118.75,0
36.25,-118.65,0
36.25,-118.55,0
36.25,-118.45,0
36.25,-118.35,0
36.25,-118.25,0
36.25,-118.15,0
36.25,-118.05,0
36.35,-123.05,0
36.35,-122.95,0
36.35,-122.85,0
36.35,-122.75,0
36.35,-122.65,0
36.35,-122.55,0
36.35,-122.45,0
36.35,-122.35,0
36.35,-122.25,0
36.35,-122.15,0
36.35,-122.05,0
36.35,-121.95,0
36.35,-121.85,0
36.35,-121.75,0
36.35,-121.65,0
36.35,-121.55,0
36.35,-121.45,0
36.35,-121.35,0
36.35,-121.25,0
36.35,-121.15,0
36.35,-121.05,0
36.35,-120.95,0
36.35,-120.85,0
36.35,-120.75,0
36.35,-120.65,0
36.35,-120.55,0
36.35,-120.45,0
36.35,-120.35,0
36.35,-120.25,0
36.35,-120.15,0
36.35,-120.05,0
36.35,-119.95,0
36.35,-119.85,0
36.35,-119.75,0
36.35,-119.65,0
36.35,-119.55,0
36.35,-119.45,0
36.35,-119.35,0
36.35,-119.25,0
36.35,-119.15,0
36.35,-119.05,0
36.35,-118.95,0
36.35,-118.85,0
36.35,-118.75,0
36.35,-118.65,0
36.35,-118.55,0
36.35,-118.45,0
36.35,-118.35,0
36.35,-118.25,0
36.35,-118.15,0
36.35,-118.05,0
36.45,-123.05,0
36.45,-122.95,0
36.45,-122.85,0
36.45,-122.75,0
36.45,-122.65,0
36.45,-122.55,0
36.45,-122.45,0
36.45,-122.35,0
36.45,-122.25,0
36.45,-122.15,0
36.45,-122.05,0
36.45,-121.95,0
36.45,-121.85,0
36.45,-121.75,0
36.45,-121.65,0
36.45,-121.55,0
36.45,-121.45,0
36.45,-121.35,0
36.45,-121.25,0
36.45,-121.15,0
36.45,-121.05,0
36.45,-120.95,0
36.45,-120.85,0
36.45,-120.75,0
36.45,-120.65,0
36.45,-120.55,0
36.45,-120.45,0
36.45,-120.35,0
36.45,-120.25,0
36.45,-120.15,0
36.45,-120.05,112965.687581988
36.45,-119.95,53379.3908354447
36.45,-119.85,0
36.45,-119.75,0
36.45,-119.65,0
36.45,-119.55,0
36.45,-119.45,0
36.45,-119.35,0
36.45,-119.25,0
36.45,-119.15,0
36.45,-119.05,0
36.45,-118.95,0
36.45,-118.85,0
36.45,-118.75,0
36.45,-118.65,0
36.45,-118.55,0
36.45,-118.45,0
36.45,-118.35,0
36.45,-118.25,0
36.45,-118.15,0
36.45,-118.05,0
36.55,-123.05,0
36.55,-122.95,0
36.55,-122.85,0
36.55,-122.75,0
36.55,-122.65,0
36.55,-122.55,0
36.55,-122.45,0
36.55,-122.35,0
36.55,-122.25,0
36.55,-122.15,0
36.55,-122.05,0
36.55,-121.95,0
36.55,-121.85,0
36.55,-121.75,0
36.55,-121.65,0
36.55,-121.55,0
36.55,-121.45,0
36.55,-121.35,0
36.55,-121.25,0
36.55,-121.15,0
36.55,-121.05,0
36.55,-120.95,0
36.55,-120.85,0
36.55,-120.75,0
36.55,-120.65,0
36.55,-120.55,0
36.55,-120.45,0
36.55,-120.35,0
36.55,-120.25,0
36.55,-120.15,0
36.55,-120.05,858708.290815259
36.55,-119.95,1147802.66546918
36.55,-119.85,775409.911677688
36.55,-119.75,303794.088619379
36.55,-119.65,7349.8569827269
36.55,-119.55,0
36.55,-119.45,0
36.55,-119.35,0
36.55,-119.25,0
36.55,-119.15,0
36.55,-119.05,0
36.55,-118.95,0
36.55,-118.85,0
36.55,-118.75,0
36.55,-118.65,0
36.55,-118.55,0
36.55,-118.45,0
36.55,-118.35,0
36.55,-118.25,0
36.55,-118.15,0
36.55,-118.05,0
36.65,-123.05,0
36.65,-122.95,0
36.65,-122.85,0
36.65,-122.75,0
36.65,-122.65,0
36.65,-122.55,0
36.65,-122.45,0
36.65,-122.35,0
36.65,-122.25,0
36.65,-122.15,0
36.65,-122.05,0
36.65,-121.95,0
36.65,-121.85,0
36.65,-121.75,0
36.65,-121.65,0
36.65,-121.55,0
36.65,-121.45,0
36.65,-121.35,0
36.65,-121.25,0
36.65,-121.15,0
36.65,-121.05,0
36.65,-120.95,0
36.65,-120.85,0
36.65,-120.75,0
36.65,-120.65,0
36.65,-120.55,0
36.65,-120.45,0
36.65,-120.35,0
36.65,-120.25,0
36.65,-120.15,238797.002373182
36.65,-120.05,1230723.01223133
36.65,-119.95,1200108.01192707
36.65,-119.85,1234396.81226784
